file,domain,formalism,action,input_path,output_path
ProcessBuilder_ThreadSafe.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ProcessBuilder_ThreadSafe.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ProcessBuilder_ThreadSafe.mop
Runnable_OverrideRun.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Runnable_OverrideRun.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Runnable_OverrideRun.mop
RuntimePermission_NullAction.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\RuntimePermission_NullAction.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\RuntimePermission_NullAction.mop
RuntimePermission_PermName.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\RuntimePermission_PermName.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\RuntimePermission_PermName.mop
SecurityManager_Permission.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\SecurityManager_Permission.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\SecurityManager_Permission.mop
Short_BadDecodeArg.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_BadDecodeArg.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_BadDecodeArg.mop
Short_BadParsingArgs.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_BadParsingArgs.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_BadParsingArgs.mop
Short_StaticFactory.mop,lang,event,treated,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\Short_StaticFactory.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\Short_StaticFactory.mop
ShutdownHook_LateRegister.mop,lang,ere,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_LateRegister.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_LateRegister.mop
ShutdownHook_PrematureStart.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_PrematureStart.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_PrematureStart.mop
ShutdownHook_SystemExit.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_SystemExit.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_SystemExit.mop
ShutdownHook_UnsafeAWTCall.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_UnsafeAWTCall.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_UnsafeAWTCall.mop
ShutdownHook_UnsafeSwingCall.mop,lang,fsm,copied,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\raw_mop\lang\ShutdownHook_UnsafeSwingCall.mop,C:\UFPE\Siesta\project_LLM_spec\nl2spec\datasets\dataset_mop\lang\ShutdownHook_UnsafeSwingCall.mop
