dataset,formalism,rank,selected_fewshot,distance
InetSocketAddress_Port,event,2,event_06.json,3.000000
InetSocketAddress_Port,event,3,event_03.json,4.000000
MulticastSocket_TTL,event,1,event_04.json,2.000000
MulticastSocket_TTL,event,2,event_06.json,4.000000
MulticastSocket_TTL,event,3,event_01.json,7.000000
NetPermission_Actions,event,1,event_01.json,0.000000
NetPermission_Actions,event,2,event_06.json,3.000000
NetPermission_Actions,event,3,event_03.json,4.000000
NetPermission_Name,event,1,event_01.json,0.000000
NetPermission_Name,event,2,event_06.json,3.000000
NetPermission_Name,event,3,event_03.json,4.000000
ServerSocket_Backlog,event,1,event_04.json,2.000000
ServerSocket_Backlog,event,2,event_06.json,4.000000
ServerSocket_Backlog,event,3,event_01.json,7.000000
ServerSocket_Port,event,1,event_01.json,0.000000
ServerSocket_Port,event,2,event_06.json,3.000000
ServerSocket_Port,event,3,event_03.json,4.000000
ServerSocket_Timeout,event,1,event_01.json,0.000000
ServerSocket_Timeout,event,2,event_06.json,3.000000
ServerSocket_Timeout,event,3,event_03.json,4.000000
SocketPermission_Actions,event,1,event_01.json,0.000000
SocketPermission_Actions,event,2,event_06.json,3.000000
SocketPermission_Actions,event,3,event_03.json,4.000000
Socket_Timeout,event,1,event_01.json,0.000000
Socket_Timeout,event,2,event_06.json,3.000000
Socket_Timeout,event,3,event_03.json,4.000000
Socket_TrafficClass,event,1,event_06.json,0.000000
Socket_TrafficClass,event,2,event_01.json,3.000000
Socket_TrafficClass,event,3,event_02.json,3.000000
URLConnection_OverrideGetPermission,event,1,event_03.json,3.000000
URLConnection_OverrideGetPermission,event,2,event_01.json,7.000000
URLConnection_OverrideGetPermission,event,3,event_06.json,10.000000
URLDecoder_DecodeUTF8,event,1,event_01.json,0.000000
URLDecoder_DecodeUTF8,event,2,event_06.json,3.000000
URLDecoder_DecodeUTF8,event,3,event_03.json,4.000000
URLEncoder_EncodeUTF8,event,1,event_01.json,0.000000
URLEncoder_EncodeUTF8,event,2,event_06.json,3.000000
URLEncoder_EncodeUTF8,event,3,event_03.json,4.000000
ArrayDeque_NonNull,event,1,event_01.json,0.000000
ArrayDeque_NonNull,event,2,event_06.json,3.000000
ArrayDeque_NonNull,event,3,event_03.json,4.000000
Arrays_Comparable,event,1,event_01.json,0.000000
Arrays_Comparable,event,2,event_06.json,3.000000
